pubchem_id,Bladder/Urinary Tract,Bowel,Breast,CNS/Brain,Cervix,Esophagus/Stomach,Kidney,Liver,Lung,Ovary/Fallopian Tube,Pancreas,Peripheral Nervous System,Skin,Uterus
53235510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56959,0,0,0,0,0,0,1,0,1,0,0,0,1,0
65628,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441074,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4495,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24812758,0,0,0,1,0,0,1,0,0,1,0,0,0,0
10461508,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24997615,0,0,0,1,0,0,1,0,0,1,0,0,0,0
67462786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86705695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25141092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10348973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636362,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5823908,0,0,0,1,0,0,1,0,1,0,0,0,0,0
138611145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3034010,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6918638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4463,0,0,0,1,0,0,0,1,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56671814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71621331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9821849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60490,0,0,0,0,0,0,0,0,1,0,0,1,0,0
49831257,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135398745,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2435,0,0,0,1,0,0,0,0,0,0,0,0,1,0
135413536,0,0,1,0,0,0,0,0,0,1,0,0,0,0
441313,0,0,0,1,0,0,1,1,0,0,0,0,0,0
656656,0,0,0,0,0,0,0,1,0,0,0,0,0,0
92727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6480466,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56844015,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25183872,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21585658,0,0,0,0,0,0,1,0,1,0,0,0,0,0
71616,0,0,0,0,0,0,1,0,1,0,0,0,0,0
444972,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11950170,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6918111,0,1,0,1,0,0,1,0,0,0,0,0,0,0
5284616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164726578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667493,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2179,0,1,0,1,0,0,0,0,0,0,0,0,0,0
71576688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6252,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3397,0,0,0,0,0,0,1,0,0,0,0,0,0,0
135526609,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5282451,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5905,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46926350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49846579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24826799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118869362,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5311180,0,0,0,0,0,0,1,1,0,0,0,0,0,0
22049997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9853654,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44582816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162368359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58507717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24872560,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146681181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67171867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11570805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25166913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67330085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16362,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121408882,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126689157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118598754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4659569,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445858,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5324346,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9560989,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46188928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53340664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6918837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6989,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67501411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129073603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104850,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000518,0,0,0,0,0,0,0,0,0,1,0,0,0,0
446727,1,0,0,0,0,0,0,0,0,0,0,0,0,0
285033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23675320,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54680690,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9966051,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11219835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11338033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25262965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54755438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44241743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5282230,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91885558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10029385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71766360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3610,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71571562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10195250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16063245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16759173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24963252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16735117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440936,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5344,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5459308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54704426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57363,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58282870,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6917864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45256689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6918132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138911318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23674502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6364534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16218542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67517580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54677470,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135151360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46205871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9875462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67448836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9827599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11960271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51003603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3033819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2359994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10138980,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16217067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5327711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46208890,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54676228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3045381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45256693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137319707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16124208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24199313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5311027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46910592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13982876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16747388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33630,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70817911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46220375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23582824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121241171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5717952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73053710,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135397144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118701008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92044433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118959080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24721416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23665037,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11683005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16048568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168312271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137628686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3064778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2747117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146673142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5312125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135565635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11595577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11957481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158550,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23663985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9562059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72205932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86295191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6437836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118704762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
